"date","id","session_start","first_use","user_engagement","engagement_time_msec","mean_event_timestamp","mean_event_previous_timestamp","first_open_time","user_first_touch_timestamp","screen_view_count","firebase_screen_class","firebase_previous_class","firebase_event_origin","nro_events","device_category","platform","medium","source","geo_city","geo_country","ads_storage","play"
20250601,1748811168,FALSE,FALSE,TRUE,12267,1748811183486664,1748750439034002,FALSE,1725148989389000,0,"SplashActivity",NA,"auto",1,"mobile","ANDROID","organic","google-play","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811191,FALSE,FALSE,FALSE,1268,1748811226024081,1748811224288004,FALSE,1748646534284000,1,"StepDialogActivity","ZappingActivity","auto",1,"smart tv","ANDROID","(none)","(direct)","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811207,FALSE,FALSE,TRUE,5468,1748811353606927,1748811278589008,FALSE,1654134855524000,0,"MainActivity",NA,"auto",1,"mobile","ANDROID","(none)","(direct)","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811242,FALSE,FALSE,FALSE,0,1748814983613409,1748813305770000,FALSE,1722813806621000,1,"SplashViewController",NA,"auto",1,"mobile","IOS","(none)","(direct)","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811261,FALSE,FALSE,FALSE,3726,1748811544060268,1748811539251009,FALSE,1698617139734000,1,"SinglePlayerActivity","MainActivity","auto",1,"mobile","ANDROID","organic","google","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811280,FALSE,FALSE,FALSE,0,1748811289956598,1748722055683000,FALSE,1688864528639000,0,"SinglePlayerActivity",NA,"app",1,"mobile","ANDROID","(none)","(direct)","Montevideo","Uruguay",TRUE,TRUE
20250601,1748811287,FALSE,FALSE,FALSE,0,1748811309850841,1748811287997003,FALSE,1744111230792000,1,"AuthorizationManagementActivity","StartActivity","auto",1,"mobile","ANDROID","organic","google-play","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811368,FALSE,FALSE,FALSE,0,1748811665168475,1748811664659002,FALSE,1672939875043000,1,"SplashActivity","DeepLinkActivity","auto",1,"mobile","ANDROID","(none)","(direct)","Maldonado","Uruguay",TRUE,FALSE
20250601,1748811369,FALSE,FALSE,FALSE,0,1748811370702652,1748786373133001,FALSE,1722112654996000,1,"MainActivity",NA,"auto",1,"mobile","ANDROID","organic","google-play","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811377,FALSE,FALSE,FALSE,29671,1748811490319955,1748811459416001,FALSE,1725668864649000,1,"SinglePlayerActivity","MainActivity","auto",1,"mobile","ANDROID","(none)","(direct)","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811393,FALSE,FALSE,FALSE,11662,1748812104491095,1748812091402047,FALSE,1736633172634000,1,"MainActivity","SinglePlayerActivity","auto",1,"mobile","ANDROID","organic","google-play","Maldonado","Uruguay",TRUE,FALSE
20250601,1748811398,FALSE,FALSE,TRUE,14865,1748811450321747,1748811434903010,FALSE,1725665667958000,0,"ExploreViewController",NA,"auto",1,"mobile","IOS","(none)","(direct)","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811401,FALSE,FALSE,FALSE,0,1748813132179331,1748812801120001,FALSE,1746981009544000,1,"ChannelsZappingViewController","BitMovinPlayerViewController","auto",1,"mobile","IOS","(none)","(direct)","Paysandu","Uruguay",TRUE,FALSE
20250601,1748811414,FALSE,FALSE,TRUE,30253,1748814270483457,1748814240143000,FALSE,1748811414217000,0,"BitMovinPlayerViewController",NA,"auto",1,"mobile","IOS",NA,NA,"Montevideo","Uruguay",TRUE,FALSE
20250601,1748811416,FALSE,FALSE,FALSE,0,1748811422180675,1748741853421000,FALSE,1733167457171000,0,"ZappingActivity",NA,"app",1,"smart tv","ANDROID","(none)","(direct)","Montevideo","Uruguay",TRUE,TRUE
20250601,1748811425,TRUE,FALSE,FALSE,0,1748811425633592,1748654428888000,FALSE,1745755972384000,0,NA,NA,"auto",1,"mobile","ANDROID","(none)","(direct)","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811467,FALSE,FALSE,FALSE,18579,1748813755824045,1748813747769001,FALSE,1677411405530000,1,"VideoDetailsActivity","VideoDetailsActivity","auto",1,"mobile","ANDROID","(none)","(direct)","Maldonado","Uruguay",TRUE,FALSE
20250601,1748811500,FALSE,FALSE,TRUE,74982,1748811587305873,1748811510249004,FALSE,1743337927232000,0,"MainActivity",NA,"auto",1,"mobile","ANDROID","organic","google-play","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811504,FALSE,FALSE,TRUE,3838,1748814783675674,1748814270345501,FALSE,1720913997196000,1,"MainActivity","SinglePlayerActivity","auto",2,"mobile","ANDROID","organic","google-play","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811513,FALSE,FALSE,TRUE,324341,1748813163691348,1748812763753000,FALSE,1733345771678000,0,"MainActivity",NA,"auto",1,"smart tv","ANDROID",NA,NA,NA,"Uruguay",TRUE,FALSE
20250601,1748811515,FALSE,FALSE,FALSE,5050,1748811625767296,1748811620069000,FALSE,1734189153219000,1,"MainActivity","PlayerActivity","auto",1,"smart tv","ANDROID","(none)","(direct)","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811521,FALSE,FALSE,TRUE,14179,1748811536591140,1748811522221003,FALSE,1733445376080000,0,"MainActivity",NA,"auto",1,"smart tv","ANDROID","(none)","(direct)","Rivera","Uruguay",TRUE,FALSE
20250601,1748811565,FALSE,FALSE,FALSE,1184,1748814412984736,1748814410455002,FALSE,1649290308751000,1,"ChannelDetailsActivity","SettingsActivity","auto",1,"mobile","ANDROID","(none)","(direct)","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811586,FALSE,FALSE,TRUE,10955,1748811605985310,1748811594703000,FALSE,1685203991690000,0,"SearchViewController",NA,"auto",1,"mobile","IOS","(none)","(direct)","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811610,FALSE,FALSE,TRUE,438,1748811612427233,1744456480934004,FALSE,1697591983513000,0,"SplashViewController",NA,"auto",1,"mobile","IOS","(none)","(direct)","Montevideo","Uruguay",TRUE,FALSE
20250601,1748811629,FALSE,FALSE,FALSE,1945,1748811632082295,1748811629283002,FALSE,1721197685145000,1,"MainActivity","SplashActivity","auto",1,"mobile","ANDROID","organic","google-play","Montevideo","Uruguay",TRUE,FALSE
